"filename", "language", "PHP", "HTML", "JavaScript", "CSS", "JSON", "XML", "YAML", "Markdown", "comment", "blank", "total"
"c:\laragon\www\rhtabiat\.idea\codeStyles\codeStyleConfig.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\laragon\www\rhtabiat\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 25
"c:\laragon\www\rhtabiat\.idea\laravel-plugin.xml", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"c:\laragon\www\rhtabiat\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"c:\laragon\www\rhtabiat\.idea\php.xml", "XML", 0, 0, 0, 0, 0, 155, 0, 0, 0, 0, 155
"c:\laragon\www\rhtabiat\.idea\phpunit.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"c:\laragon\www\rhtabiat\.idea\rhtabiat.iml", "XML", 0, 0, 0, 0, 0, 158, 0, 0, 0, 0, 158
"c:\laragon\www\rhtabiat\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\laragon\www\rhtabiat\.phpstorm.meta.php", "PHP", 2090, 0, 0, 0, 0, 0, 0, 0, 7, 6, 2103
"c:\laragon\www\rhtabiat\.styleci.yml", "YAML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\laragon\www\rhtabiat\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 42, 0, 21, 63
"c:\laragon\www\rhtabiat\_ide_helper.php", "PHP", 5937, 0, 0, 0, 0, 0, 0, 0, 12559, 278, 18774
"c:\laragon\www\rhtabiat\_ide_helper_models.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 63, 5, 72
"c:\laragon\www\rhtabiat\app\Actions\EvaluatePromoCodeAction.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 2, 10, 37
"c:\laragon\www\rhtabiat\app\Actions\TranslateProductUnitsAction.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23
"c:\laragon\www\rhtabiat\app\Console\Kernel.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 17, 7, 65
"c:\laragon\www\rhtabiat\app\Events\OrderCreated.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 10, 7, 40
"c:\laragon\www\rhtabiat\app\Events\UserRegisterAttempted.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 5, 7, 28
"c:\laragon\www\rhtabiat\app\Exceptions\Handler.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 19, 11, 70
"c:\laragon\www\rhtabiat\app\Exceptions\NotUsablePromoCodeException.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\laragon\www\rhtabiat\app\Http\Controllers\AddressController.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 0, 9, 47
"c:\laragon\www\rhtabiat\app\Http\Controllers\AdminController.php", "PHP", 103, 0, 0, 0, 0, 0, 0, 0, 34, 14, 151
"c:\laragon\www\rhtabiat\app\Http\Controllers\Admin\AdminController.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\laragon\www\rhtabiat\app\Http\Controllers\Admin\AdminLoginController.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 5, 4, 28
"c:\laragon\www\rhtabiat\app\Http\Controllers\Admin\ArticleCategoryController.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
