Date : 2021-08-18 18:05:51
Directory : c:\laragon\www\rhtabiat
Total : 321 files,  27435 codes, 15084 comments, 2449 blanks, all 44968 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| PHP        |        300 |     16,406 |     15,025 |      2,409 |     33,840 |
| JSON       |          3 |     10,485 |          0 |          2 |     10,487 |
| XML        |          9 |        405 |          2 |          1 |        408 |
| YAML       |          2 |         72 |          1 |          2 |         75 |
| Markdown   |          1 |         42 |          0 |         21 |         63 |
| JavaScript |          4 |         13 |         56 |         12 |         81 |
| HTML       |          1 |         12 |          0 |          1 |         13 |
| CSS        |          1 |          0 |          0 |          1 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |        321 |     27,435 |     15,084 |      2,449 |     44,968 |
| .idea                                                                                                             |          8 |        376 |          0 |          0 |        376 |
| .idea\codeStyles                                                                                                  |          1 |          5 |          0 |          0 |          5 |
| .idea\inspectionProfiles                                                                                          |          1 |         25 |          0 |          0 |         25 |
| app                                                                                                               |        194 |      5,681 |        906 |      1,337 |      7,924 |
| app\Actions                                                                                                       |          2 |         41 |          2 |         17 |         60 |
| app\Console                                                                                                       |          1 |         41 |         17 |          7 |         65 |
| app\Events                                                                                                        |          2 |         39 |         15 |         14 |         68 |
| app\Exceptions                                                                                                    |          2 |         50 |         19 |         15 |         84 |
| app\Http                                                                                                          |        134 |      3,361 |        352 |        769 |      4,482 |
| app\Http\Controllers                                                                                              |         66 |      1,812 |        170 |        442 |      2,424 |
| app\Http\Controllers\Admin                                                                                        |         10 |        269 |          9 |         65 |        343 |
| app\Http\Controllers\Blog                                                                                         |          4 |         71 |          0 |         22 |         93 |
| app\Http\Controllers\Shop                                                                                         |         20 |        489 |         60 |        136 |        685 |
| app\Http\Controllers\User                                                                                         |         22 |        650 |         49 |        148 |        847 |
| app\Http\Middleware                                                                                               |          9 |         97 |         60 |         39 |        196 |
| app\Http\Requests                                                                                                 |         32 |        919 |         68 |        159 |      1,146 |
| app\Http\Resources                                                                                                |         26 |        493 |         33 |        122 |        648 |
| app\Jobs                                                                                                          |          3 |        118 |         26 |         28 |        172 |
| app\Listeners                                                                                                     |          2 |         30 |         18 |          9 |         57 |
| app\Models                                                                                                        |         26 |      1,263 |        359 |        324 |      1,946 |
| app\Providers                                                                                                     |          6 |        121 |         75 |         38 |        234 |
| app\Scopes                                                                                                        |          1 |         12 |          0 |          4 |         16 |
| app\Services                                                                                                      |         11 |        450 |         23 |         84 |        557 |
| app\Traits                                                                                                        |          3 |        118 |          0 |         17 |        135 |
| bootstrap                                                                                                         |          1 |         17 |         30 |          9 |         56 |
| config                                                                                                            |         18 |        624 |      1,030 |        323 |      1,977 |
| database                                                                                                          |         66 |      1,385 |        264 |        297 |      1,946 |
| database\factories                                                                                                |         13 |        231 |         30 |         74 |        335 |
| database\migrations                                                                                               |         42 |        900 |        197 |        169 |      1,266 |
| database\seeders                                                                                                  |         11 |        254 |         37 |         54 |        345 |
| public                                                                                                            |          1 |         14 |         30 |         12 |         56 |
| resources                                                                                                         |         10 |        416 |         98 |         76 |        590 |
| resources\css                                                                                                     |          1 |          0 |          0 |          1 |          1 |
| resources\js                                                                                                      |          2 |          4 |         18 |          9 |         31 |
| resources\lang                                                                                                    |          6 |        299 |         80 |         46 |        425 |
| resources\lang\en                                                                                                 |          4 |        135 |         60 |         24 |        219 |
| resources\lang\fa                                                                                                 |          2 |        164 |         20 |         22 |        206 |
| resources\views                                                                                                   |          1 |        113 |          0 |         20 |        133 |
